transaction_id,estimated_item_count,fullness_label,actual_checkout_time_sec
1,10,medium,95
2,9,medium,83
3,15,medium,126
4,11,medium,180
5,8,medium,72
6,7,medium,67
7,10,medium,93
8,5,light,51
9,17,full,130
10,13,medium,116
11,9,medium,84
12,9,medium,83
13,13,medium,108
14,4,light,54
15,16,full,128
16,12,medium,167
17,15,medium,112
18,3,light,41
19,5,light,58
20,11,medium,168
21,11,medium,97
22,11,medium,96
23,7,medium,149
24,11,medium,94
25,6,medium,57
26,3,light,44
27,11,medium,92
28,8,medium,77
29,23,full,166
30,9,medium,89
31,21,full,158
32,6,medium,153
33,3,light,44
34,3,light,42
35,5,light,54
36,9,medium,146
37,7,medium,155
38,2,light,32
39,4,light,45
40,11,medium,97
41,11,medium,87
42,9,medium,84
43,10,medium,92
44,17,full,156
45,2,light,38
46,7,medium,77
47,21,full,176
48,8,medium,78
49,8,medium,64
50,3,light,38
51,15,medium,125
52,11,medium,94
53,12,medium,103
54,6,medium,101
55,9,medium,95
56,6,medium,96
57,4,light,40
58,3,light,48
59,3,light,35
60,30,full,210
61,30,full,223
62,25,full,191
63,11,medium,127
64,6,medium,59
65,16,full,136
66,8,medium,78
67,30,full,259
68,4,light,129
69,10,medium,77
70,11,medium,93
71,8,medium,75
72,9,medium,66
73,9,medium,81
74,10,medium,79
75,6,medium,57
76,19,full,174
77,11,medium,100
78,6,medium,59
79,2,light,33
80,14,medium,125
81,7,medium,66
82,13,medium,102
83,2,light,35
84,12,medium,107
85,11,medium,81
86,12,medium,116
87,15,medium,133
88,9,medium,85
89,7,medium,71
90,3,light,46
91,4,light,51
92,20,full,252
93,7,medium,78
94,9,medium,72
95,1,light,28
96,10,medium,73
97,5,light,58
98,4,light,51
99,12,medium,103
100,14,medium,153
101,14,medium,106
102,1,light,29
103,9,medium,134
104,20,full,149
105,1,light,26
106,25,full,201
107,11,medium,83
108,5,light,50
109,11,medium,100
110,20,full,141
111,6,medium,64
112,10,medium,105
113,9,medium,77
114,8,medium,71
115,1,light,26
116,28,full,199
117,5,light,56
118,6,medium,56
119,30,full,256
120,12,medium,103
